year,country,average_sales
2020,Azerbaijan,4031.3654708520179372
2020,Belgium,3950.0111731843575419
2020,Brazil,3988.5526167698368036
2020,Bulgaria,3963.2940516273849607
2020,Canada,3955.7396878483835006
2020,Cyprus,3993.6257668711656442
2020,Czech Republic,3956.4685587089593767
2020,Denmark,3997.3912800447177194
2020,Egypt,4006.9927333705980995
2020,Estonia,4012.3208076275939428
2020,Finland,4029.5252077562326870
2020,France,3993.6782122905027933
2020,Germany,3985.6992733370598099
2020,Greece,3953.3853876185164529
2020,Hungary,4055.8677455357142857
2020,India,3915.0491620111731844
2020,Indonesia,3986.7301231802911534
2020,Ireland,3987.7169076751946607
2020,Israel,3990.8455512031337437
2020,Italy,4018.4166201896263246
2020,Japan,4035.3337047353760446
2020,Jordan,4096.6133849557522124
2020,Malaysia,3985.6603351955307263
2020,Mexico,4045.9922135706340378
2020,Netherlands,4024.7966386554621849
2020,New Zealand,3993.4134078212290503
2020,Norway,4015.2912946428571429
2020,Oman,4028.5626398210290828
2020,Peru,4030.2612359550561798
2020,Philippines,4068.6164613661814110
2020,Poland,4073.2968138624930129
2020,Portugal,3937.1627647714604236
2020,Qatar,3922.6700000000000000
2020,Russia,4021.0800889877641824
2020,Saudi Arabia,3919.3853932584269663
2020,Singapore,3991.8153931957612939
2020,South Africa,3979.9743016759776536
2020,South Korea,4005.3478503629257398
2020,Spain,4060.3068753493571828
2020,Sudan,3989.5098480585256050
2020,Sweden,3911.4774373259052925
2020,Switzerland,3975.4059350503919373
2020,Taiwan,3816.7648044692737430
2020,Tajikistan,4018.2669657879977566
2020,Thailand,4099.7606026785714286
2020,Turkey,3918.3862998315553060
2020,Ukraine,4075.0983240223463687
2020,United Arab Emirates,3959.7892074198988196
2020,United Kingdom,4080.0272071071626874
2020,United States,3912.6353992183137912
2020,Uruguay,4066.1166945840312674
2020,Uzbekistan,3980.4620111731843575
2020,Vietnam,3961.8203693340794628
2020,,3995.2273870098772823
2021,Argentina,4102.0660643704121965
2021,Australia,4091.2152466367713004
2021,Austria,3922.5686164229471316
2021,Azerbaijan,3957.3008998875140607
2021,Belgium,4095.0798436627582356
2021,Brazil,3983.7569676700111483
2021,Bulgaria,3972.4528514963297572
2021,Canada,4101.1596638655462185
2021,Cyprus,3994.1791549295774648
2021,Czech Republic,4011.9932546374367622
2021,Denmark,4053.8821548821548822
2021,Egypt,3951.8277216610549944
2021,Estonia,3978.4487750556792873
2021,Finland,3940.6047297297297297
2021,France,4019.9406779661016949
2021,Germany,4008.4535211267605634
2021,Greece,3997.4168539325842697
2021,Hungary,3999.4991606043648573
2021,India,3995.9696629213483146
2021,Indonesia,3974.1918964546989308
2021,Ireland,3957.0888139404159640
2021,Israel,4082.6108622620380739
2021,Italy,4131.6206313416009019
2021,Japan,4090.1663884251530328
2021,Jordan,3910.4228827818283791
2021,Malaysia,3993.0044943820224719
2021,Mexico,3971.5798082346305697
2021,Netherlands,4014.8108561835478456
2021,New Zealand,3973.6664795058955643
2021,Norway,3979.2793296089385475
2021,Oman,4042.4356823266219239
2021,Peru,4118.0604703247480403
2021,Philippines,4036.2304250559284116
2021,Poland,4123.0731843575418994
2021,Portugal,4114.9633596392333709
2021,Qatar,4069.2743561030235162
2021,Russia,4086.0850111856823266
2021,Saudi Arabia,3975.9882681564245810
2021,Singapore,4015.7017937219730942
2021,South Africa,3967.7663499161542761
2021,South Korea,4051.6819966348850252
2021,Spain,3984.9404424276800908
2021,Sudan,4062.8375209380234506
2021,Sweden,3923.7823167319529938
2021,Switzerland,4030.8809390721073225
2021,Taiwan,4021.8047138047138047
2021,Tajikistan,4056.4227323628219485
2021,Thailand,4060.1715575620767494
2021,Turkey,4036.3847874720357942
2021,Ukraine,3963.5617283950617284
2021,United Arab Emirates,4028.1002816901408451
2021,United Kingdom,3947.9247491638795987
2021,United States,3910.9305322128851541
2021,Uruguay,4005.3606741573033708
2021,Uzbekistan,3978.5889639639639640
2021,Vietnam,3979.9436698271054099
2021,,4015.1816187518781929
,Argentina,4077.8970946579194002
,Australia,4019.0483660130718954
,Austria,3981.6857994781960492
,Azerbaijan,3985.3795552233227434
,Belgium,4007.8763982102908277
,Brazil,3999.0206031091964787
,Bulgaria,4007.9962560838637215
,Canada,4020.7674245247856877
,Cyprus,4011.2921641791044776
,Czech Republic,3982.4793727832742206
,Denmark,3987.1209345794392523
,Egypt,3991.0336008960238940
,Estonia,4003.9221311475409836
,Finland,3976.1811405143496086
,France,3991.2203104544604451
,Germany,3980.1814275037369208
,Greece,3998.5794584500466853
,Hungary,3979.4880641551659828
,India,3987.0809345794392523
,Indonesia,4008.0089485458612975
,Ireland,3938.0216539107709539
,Israel,4030.9204333208815839
,Italy,4078.5871919342793129
,Japan,4038.8459825570606792
,Jordan,3992.1020864381520119
,Malaysia,4010.5808562348102449
,Mexico,4013.3565282454171343
,Netherlands,3989.3692164179104478
,New Zealand,3995.0292189548604608
,Norway,4013.4945976154992548
,Oman,4005.4421603438609606
,Peru,4052.3640776699029126
,Philippines,4038.0011189854531891
,Poland,4078.6278939507094847
,Portugal,4034.9327967053538001
,Qatar,3991.4055762081784387
,Russia,4045.9475153545505304
,Saudi Arabia,3981.7843539955190441
,Singapore,4009.4891081735244833
,South Africa,3986.3527110117384013
,South Korea,4033.3086834733893557
,Spain,4027.2686679174484053
,Sudan,3997.0014930944382232
,Sweden,3909.9841742692236083
,Switzerland,4015.3137474351800037
,Taiwan,3933.5465072842734404
,Tajikistan,4020.4620702541106129
,Thailand,4080.0702147525676937
,Turkey,3975.8386915887850467
,Ukraine,4003.4936614466815809
,United Arab Emirates,4018.7820464767616192
,United Kingdom,3982.7251255346847685
,United States,3920.1337936182123531
,Uruguay,3981.5839402427637722
,Uzbekistan,4005.2515429212642603
,Vietnam,3962.8625698324022346
,,4003.3541933333333333
